Date,reported_scores,cubic_bspline_fit,residuals
2022-05-02,95643,88041.7894843422,7601.210515657804
2022-05-03,85817,86819.23617916672,-1002.2361791667208
2022-05-04,107750,85623.00067506229,22126.999324937715
2022-05-05,85979,84452.62651265589,1526.3734873441135
2022-05-06,76292,83307.65723257475,-7015.657232574755
2022-05-07,74458,82187.63637544574,-7729.636375445742
2022-05-08,72518,81092.1074818961,-8574.107481896106
2022-05-09,88932,80020.61409255285,8911.385907447155
2022-05-10,74412,78972.69974804301,-4560.699748043015
2022-05-11,79446,77947.90798899379,1498.0920110062143
2022-05-12,75673,76945.7823560321,-1272.7823560320976
2022-05-13,77585,75965.86638978518,1619.1336102148198
2022-05-14,73225,75007.70363088003,-1782.7036308800307
2022-05-15,67115,74070.83761994376,-6955.837619943763
2022-05-16,68349,73154.8118976034,-4805.811897603402
2022-05-17,70722,72259.17000448603,-1537.1700044860336
2022-05-18,73933,71383.4554812188,2549.5445187812
2022-05-19,70920,70527.21186842867,392.7881315713312
2022-05-20,69884,69689.98270674281,194.0172932571877
2022-05-21,66814,68871.31153678826,-2057.3115367882565
2022-05-22,67909,68070.74189919214,-161.74189919214405
2022-05-23,66431,67287.81733458144,-856.817334581443
2022-05-24,63380,66522.08138358335,-3142.081383583354
2022-05-25,62723,65773.07758682487,-3050.0775868248747
2022-05-26,63188,65040.34948493309,-1852.3494849330891
2022-05-27,63846,64323.44061853514,-477.44061853513995
2022-05-28,60069,63621.894528257966,-3552.894528257966
2022-05-29,56839,62935.2547547288,-6096.254754728798
2022-05-30,60969,62263.0648385746,-1294.0648385746026
2022-05-31,62768,61604.86832042252,1163.1316795774765
2022-06-01,63241,60960.208740899645,2280.791259100355
2022-06-02,61278,60328.629640632964,949.3703593670361
2022-06-03,65431,59709.67456024965,5721.325439750348
2022-06-04,58263,59102.88704037668,-839.8870403766778
2022-06-05,56738,58507.81062164121,-1769.8106216412125
2022-06-06,58478,57923.9888446704,554.011155329601
2022-06-07,58991,57350.96525009109,1640.0347499089112
2022-06-08,61026,56788.28337853057,4237.71662146943
2022-06-09,60020,56235.48677061578,3784.513229384218
2022-06-10,55376,55692.13004174775,-316.1300417477469
2022-06-11,51958,55157.95382891853,-3199.9538289185293
2022-06-12,56684,54632.853123780355,2051.1468762196455
2022-06-13,53802,54116.72759015563,-314.7275901556277
2022-06-14,59968,53609.47689186667,6358.523108133333
2022-06-15,55989,53111.00069273588,2877.9993072641228
2022-06-16,53430,52621.19865658555,808.8013434144523
2022-06-17,54665,52139.97044723808,2525.0295527619164
2022-06-18,47205,51667.21572851592,-4462.215728515919
2022-06-19,55359,51202.834164241256,4156.165835758744
2022-06-20,50484,50746.725418236645,-262.72541823664506
2022-06-21,53342,50298.78915432426,3043.2108456757414
2022-06-22,47645,49858.92503632662,-2213.9250363266183
2022-06-23,53111,49427.03272806607,3683.9672719339287
2022-06-24,50617,49003.01189336488,1613.9881066351227
2022-06-25,46089,48586.76219604556,-2497.762196045558
2022-06-26,50450,48178.183299930315,2271.816700069685
2022-06-27,47986,47777.17486884161,208.8251311583881
2022-06-28,47312,47383.636566601795,-71.6365666017955
2022-06-29,45645,46997.46805703321,-1352.468057033213
2022-06-30,44212,46618.56900395824,-2406.5690039582405
2022-07-01,47248,46246.839071199196,1001.160928800804
2022-07-02,41765,45882.1779225786,-4117.177922578601
2022-07-03,40486,45524.48522191863,-5038.485221918629
2022-07-04,42645,45173.66063304171,-2528.6606330417126
2022-07-05,44578,44829.60381977029,-251.60381977028737
2022-07-06,47344,44492.21444592664,2851.785554073358
2022-07-07,43407,44161.39217533312,-754.3921753331233
2022-07-08,42806,43837.03667181214,-1031.0366718121368
2022-07-09,47094,43519.04759918606,3574.9524008139415
2022-07-10,41785,43207.324621277265,-1422.3246212772647
2022-07-11,40545,42901.76740190807,-2356.767401908073
2022-07-12,46910,42602.2756049008,4307.724395099198
2022-07-13,46246,42308.748894077944,3937.251105922056
2022-07-14,40549,42021.08693326179,-1472.0869332617876
2022-07-15,39234,41739.18938627471,-2505.1893862747092
2022-07-16,38769,41462.955916939114,-2693.955916939114
2022-07-17,39611,41192.28618907726,-1581.286189077262
2022-07-18,42574,40927.079866511645,1646.9201334883546
2022-07-19,39667,40667.236613064524,-1000.2366130645241
2022-07-20,42237,40412.6560925583,1824.3439074416965
2022-07-21,39086,40163.23796881533,-1077.2379688153305
2022-07-22,43099,39918.88190565804,3180.1180943419604
2022-07-23,36769,39679.48756690872,-2910.4875669087196
2022-07-24,39813,39444.95461638975,368.04538361025334
2022-07-25,39228,39215.1827179235,12.817282076503034
2022-07-26,39171,38990.071535332376,180.9284646676242
2022-07-27,38384,38769.52073243867,-385.520732438672
2022-07-28,40650,38553.42997306482,2096.57002693518
2022-07-29,37791,38341.69892103311,-550.6989210331085
2022-07-30,37353,38134.22724016597,-781.227240165972
2022-07-31,39250,37930.91501292244,1319.0849870775564
2022-08-01,36662,37731.676152277025,-1069.6761522770248
2022-08-02,34909,37536.44123914615,-2627.441239146152
2022-08-03,38381,37345.1418467702,1035.8581532297976
2022-08-04,37229,37157.70954838961,71.29045161038812
2022-08-05,37350,36974.0759172447,375.92408275530033
2022-08-06,38841,36794.17252657593,2046.8274734240695
2022-08-07,36223,36617.93094962374,-394.93094962374016
2022-08-08,35516,36445.28275962845,-929.2827596284478
2022-08-09,36223,36276.15952983037,-53.159529830372776
